QB,RB1,RB2,WR1,WR2,WR3,TE,FLEX,DEF,lineup_id,player_ids,tier,temperature,milp_projection,total_salary,mean,median,p10,p90,std,skewness,fitness
Drake Maye,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Tetairoa McMillan,Troy Franklin,Kyle Pitts Sr.,RJ Harvey,Tennessee Titans,0,"123617-138820,123617-55050,123617-152316,123617-90573,123617-167620,123617-110484,123617-151903,123617-86080,123617-12534",1,0.0,120.59999999999998,60000,126.31071832767444,122.09604481316153,93.64821572197842,165.1433515976917,28.717046965096863,0.1467655612234603,165.1433515976917
C.J. Stroud,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Tetairoa McMillan,Troy Franklin,Kyle Pitts Sr.,RJ Harvey,Los Angeles Chargers,1,"123617-138820,123617-55050,123617-90573,123617-129471,123617-167620,123617-110484,123617-151903,123617-86080,123617-12548",1,0.0,119.79999999999998,60000,126.6585389812702,123.52793894320668,94.22942758685063,164.08079086355275,27.68343072711152,0.1130856962391435,164.08079086355275
Bo Nix,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Khalil Shakir,Alec Pierce,Hunter Henry,RJ Harvey,Los Angeles Chargers,2,"123617-138820,123617-55050,123617-102965,123617-90573,123617-86518,123617-110484,123617-86312,123617-40845,123617-12548",1,0.0,119.2,60000,125.73200244700064,122.4243558644227,93.18441832488128,163.37249510313993,27.50061942969513,0.1202753483802029,163.37249510313993
Jaxson Dart,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Tetairoa McMillan,Wan'Dale Robinson,Dalton Schultz,RJ Harvey,Arizona Cardinals,3,"123617-138820,123617-55050,123617-151966,123617-90573,123617-167620,123617-103539,123617-110484,123617-55042,123617-12546",2,0.9507462686567164,117.5,60000,125.4694614520287,122.243864202579,93.05438463400876,162.70693251763245,27.59217214704415,0.1169026212311174,162.70693251763245
Jaxson Dart,De'Von Achane,Christian McCaffrey,Tetairoa McMillan,Wan'Dale Robinson,Alec Pierce,Kyle Pitts Sr.,TreVeyon Henderson,New Orleans Saints,4,"123617-138820,123617-55050,123617-152647,123617-151966,123617-167620,123617-103539,123617-86312,123617-86080,123617-12542",3,2.4549208537138307,117.0,60000,125.09227190223456,121.50944349656235,92.482044582207,162.6701657228466,29.101606328102687,0.1231144551018256,162.6701657228466
Drake Maye,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Wan'Dale Robinson,Troy Franklin,Kyle Pitts Sr.,RJ Harvey,New Orleans Saints,5,"123617-138820,123617-55050,123617-152316,123617-90573,123617-103539,123617-110484,123617-151903,123617-86080,123617-12542",1,0.0,119.89999999999998,60000,125.6195495491988,122.86339596243856,93.31855932635364,162.64043543484578,28.0252327975002,0.0983454305866138,162.64043543484578
Bo Nix,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Tetairoa McMillan,Tre Tucker,Kyle Pitts Sr.,RJ Harvey,Los Angeles Chargers,6,"123617-138820,123617-55050,123617-102965,123617-90573,123617-167620,123617-110484,123617-103619,123617-86080,123617-12548",1,0.0,131.19999999999996,60000,125.6359203881837,122.28304421200436,94.11807001478635,162.55656685383073,27.217584240949883,0.1231878680524044,162.55656685383073
C.J. Stroud,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Wan'Dale Robinson,Khalil Shakir,Hunter Henry,RJ Harvey,Los Angeles Chargers,child_931452,"123617-12548,123617-129471,123617-40845,123617-138820,123617-55050,123617-110484,123617-90573,123617-103539,123617-86518",1,0.0,120.1,60000,125.77080594249047,122.2517253689484,94.62876483858695,162.48020936697418,27.434969739136907,0.12826989083651086,162.48020936697418
Bo Nix,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Tetairoa McMillan,Wan'Dale Robinson,Hunter Henry,RJ Harvey,New Orleans Saints,7,"123617-138820,123617-55050,123617-102965,123617-90573,123617-167620,123617-103539,123617-110484,123617-40845,123617-12542",1,0.0,119.29999999999998,60000,125.52249934020828,122.5024179291,92.62008312187174,162.39200082336936,27.914776825633787,0.1081893446604587,162.39200082336936
Drake Maye,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Tetairoa McMillan,Troy Franklin,Kyle Pitts Sr.,Tyjae Spears,Los Angeles Chargers,8,"123617-138820,123617-55050,123617-152316,123617-90573,123617-167620,123617-151903,123617-86080,123617-107293,123617-12548",1,0.0,126.8,59900,125.1650635612538,121.76613244315833,93.02748050146252,162.2940631306398,27.859474128648284,0.1220027019318468,162.2940631306398
